age_years,residential_status,time_at_address_months,employment_status,time_with_employer_months,gross_monthly_income_eur,net_monthly_income_eur,debt_to_income_ratio,disposable_income_eur,num_active_credit_accounts,default
41,rent_social,17,permanent,18,4761,1190,0.3682375393257258,902,46,0
42,owner_with_mortgage,14,self_employed,53,2457,1275,1.017739666953247,14757,0,0
69,owner_with_mortgage,330,self_employed,40,3409,1843,0.6040693093226377,8060,3,0
33,rent_private,46,permanent,25,9437,13658,0.2050263988564368,13858,5,0
28,rent_social,59,temporary_contract,8,2076,1792,0.5612776282688732,552,6,1
101,rent_social,138,temporary_contract,467,1033,1581,0.1840673125590823,619,6,0
30,owner_with_mortgage,14,permanent,5,2136,2088,0.2918852600647239,120,2,0
49,rent_private,340,permanent,7,1877,1721,0.6431085073595568,813,3,0
56,owner_with_mortgage,50,permanent,182,8778,1602,0.457021257861779,234,5,0
18,rent_private,48,permanent,8,3239,589,0.3683157356206535,633,3,0
32,rent_private,15,permanent,51,3401,2930,0.2525339434061736,15261,0,0
53,living_with_family_other,379,permanent,300,3758,2577,0.3204687452323257,14260,4,0
26,owner_no_mortgage,10,permanent,29,4651,1432,0.2772372370882445,845,2,0
39,owner_no_mortgage,150,unemployed_other,48,1653,248,0.3888909184420435,1274,5,0
91,owner_with_mortgage,29,self_employed,0,2695,2966,0.2905318953876077,511,8,0
36,rent_private,31,permanent,13,2371,2944,0.3308593044814804,775,3,0
52,owner_with_mortgage,228,permanent,60,635,2390,0.3457550299398085,783,6,0
34,owner_with_mortgage,29,self_employed,21,4558,1146,0.4128885184450842,2175,1,1
35,rent_social,48,permanent,9,660,1924,0.2773797217741358,524,4,0
46,rent_private,8,self_employed,278,4078,1777,0.2631805118313239,1087,8,0
54,rent_private,13,self_employed,55,6789,2799,0.1593763848255305,10787,0,0
31,owner_with_mortgage,123,permanent,296,2960,1673,0.3349806016908963,777,0,0
54,owner_with_mortgage,49,self_employed,190,3216,4901,0.4151748980765395,351,7,0
40,rent_private,270,unemployed_other,20,2300,135,0.1848986431613445,44,3,0
41,owner_no_mortgage,453,self_employed,9,3965,1573,0.2582997741953053,485,4,0
46,owner_with_mortgage,25,permanent,5,3907,1743,0.308229930198856,47,2,0
43,owner_no_mortgage,32,permanent,3,3859,2254,0.1314582334636678,1187,7,0
29,rent_social,44,permanent,21,2456,2498,0.2823387693916,7788,3,0
18,owner_with_mortgage,3,permanent,139,2454,1323,0.4225459691575044,94,2,0
25,owner_with_mortgage,13,permanent,185,3752,1416,0.2361770928405263,608,7,0
25,rent_private,6,permanent,7,525,8841,0.3542226151256651,14624,7,0
45,rent_private,29,permanent,23,15575,2219,0.3887093148516263,859,2,0
23,rent_private,13,temporary_contract,26,3015,1656,0.1290079846970002,729,3,0
53,rent_private,14,permanent,49,2206,1575,0.4739167355777774,319,3,0
54,rent_private,24,permanent,10,1081,2474,0.2999204887487156,140,3,0
39,rent_private,42,temporary_contract,57,14496,1835,1.0395035210618937,186,40,1
42,rent_private,11,retired,58,3460,1809,0.2800235416038605,1078,1,0
55,owner_no_mortgage,8,permanent,446,2717,2791,0.5523955551963305,623,5,0
33,rent_private,13,temporary_contract,0,1010,2219,0.5017121463547349,749,20,1
27,rent_private,53,permanent,353,630,2371,0.0316224141788624,929,0,0
62,owner_with_mortgage,9,temporary_contract,29,1745,265,0.2281636591759627,14079,7,0
35,living_with_family_other,8,self_employed,6,4203,3500,0.2360925341396025,3115,2,0
63,living_with_family_other,9,temporary_contract,570,1265,3188,0.2713849619140367,1,5,0
32,rent_private,59,permanent,426,1975,2344,0.3470277582271648,1133,0,0
36,rent_private,551,permanent,2,1580,5708,0.3650752532845753,1047,8,0
78,rent_private,38,temporary_contract,39,2048,2574,0.6281819744988782,425,6,0
52,owner_with_mortgage,17,permanent,1,3281,1769,0.4498160520646764,989,4,0
26,owner_with_mortgage,53,permanent,40,2412,1327,0.3982061600891297,-2708,1,0
25,owner_with_mortgage,18,permanent,18,3373,1267,0.3533683500002536,1012,4,0
57,owner_no_mortgage,42,permanent,24,1575,368,0.4300048840874678,286,49,0
40,rent_private,32,permanent,23,1514,1971,0.3951129676858311,5037,0,0
58,rent_social,55,unemployed_other,11,4101,3150,0.6258984928818627,600,8,0
47,owner_with_mortgage,53,retired,586,1785,1765,0.29142694483357,621,5,0
40,owner_with_mortgage,301,retired,37,11985,1926,0.416847190428629,-2770,1,0
42,owner_with_mortgage,36,permanent,6,4832,1670,0.0860218838469803,823,2,0
40,rent_private,5,retired,0,2029,2193,0.3184346501698221,211,3,0
36,rent_private,24,permanent,40,589,2285,0.3780586263627469,1047,6,0
47,owner_with_mortgage,47,permanent,41,3125,678,0.4887869870738569,288,6,0
43,owner_with_mortgage,293,permanent,48,4219,1528,0.3404312919211391,615,7,0
51,rent_social,6,permanent,11,2841,2126,0.2446288953329988,-60,7,0
41,rent_private,240,permanent,4,1689,2229,0.306704490966218,-3152,3,0
38,owner_with_mortgage,110,permanent,23,2424,1507,0.6100245733616881,592,6,0
63,owner_no_mortgage,20,unemployed_other,21,3292,2532,0.3330377036188748,430,5,0
39,rent_private,275,self_employed,19,335,2349,0.4096499303051343,57,0,0
18,owner_with_mortgage,4,permanent,21,3100,2699,0.2303695970169959,2140,5,0
50,rent_social,44,self_employed,0,3741,951,0.2782221650435554,1037,5,0
28,rent_private,6,self_employed,196,2739,1582,0.3703989952912402,744,3,0
27,owner_with_mortgage,5,unemployed_other,7,2892,1818,0.4434625004364242,12224,2,0
28,owner_no_mortgage,330,unemployed_other,49,3549,778,0.4402550247695948,274,5,0
54,rent_private,64,retired,140,2730,2143,0.4908658899496089,51,7,0
42,owner_with_mortgage,15,permanent,54,3286,1662,0.5285155052837769,856,4,0
72,living_with_family_other,5,permanent,22,2381,1937,0.3421146251419443,986,2,0
64,living_with_family_other,15,unemployed_other,20,3823,1888,0.3130309810753578,211,5,0
35,owner_with_mortgage,33,temporary_contract,11,4385,1844,0.2802022753596828,1193,6,0
26,rent_private,10,self_employed,30,3079,385,0.1143394453293261,2,3,0
39,owner_with_mortgage,167,permanent,13,2241,13844,0.132257329127077,1199,8,0
63,owner_with_mortgage,33,retired,11,3250,3317,0.6310753986181385,2468,4,0
44,living_with_family_other,43,permanent,36,4079,1566,1.289174891922451,19694,5,0
69,rent_social,58,permanent,120,16712,3441,0.2232826572500793,409,6,0
37,owner_no_mortgage,6,unemployed_other,3,1570,2462,0.4712485704374839,2499,5,0
57,owner_with_mortgage,54,retired,549,4813,1724,0.6208529212113725,1127,37,0
50,owner_no_mortgage,44,unemployed_other,13,1954,894,0.4403636261917717,10839,36,0
42,rent_private,22,permanent,25,13312,1842,0.5881758829466692,9463,0,0
23,living_with_family_other,14,permanent,6,4542,2111,0.1313982150493927,405,3,0
56,rent_private,56,self_employed,420,1827,1508,0.5233655709817355,-4325,8,0
52,rent_private,351,self_employed,463,2420,1664,0.3532016353713401,439,2,0
23,owner_with_mortgage,6,permanent,27,2922,2354,0.4705300399534618,1092,4,0
44,owner_with_mortgage,2,self_employed,38,1577,2034,0.2385783628084465,47,6,0
49,living_with_family_other,18,temporary_contract,482,3560,3035,0.3091736766490927,1068,3,0
41,rent_private,58,permanent,142,4101,1985,0.5430312207144742,141,5,0
49,rent_private,20,permanent,245,1531,1571,0.3748222208981527,1144,6,0
55,rent_private,9,unemployed_other,28,1786,608,0.7523718872705795,982,5,0
37,owner_with_mortgage,558,permanent,240,1604,3141,0.485483958759376,27,3,0
55,owner_no_mortgage,51,retired,8,2931,290,0.1069089919079381,740,6,0
84,rent_social,16,permanent,55,1073,1386,0.0538450451607017,828,1,0
56,owner_with_mortgage,122,permanent,8,3158,1294,0.3871647118868939,52,2,0
36,rent_private,3,self_employed,21,3032,2049,0.3423348482324225,1118,5,0
34,rent_private,17,permanent,201,2593,2015,0.4037346525939103,849,2,0
51,owner_no_mortgage,47,permanent,44,2685,1321,0.0037471354093372,107,4,0
49,rent_private,23,self_employed,8,1571,1632,0.1016311977824654,731,5,0
49,rent_private,52,permanent,42,12792,3236,0.2716434556439813,15818,4,0
46,rent_social,1,temporary_contract,49,3381,1648,0.2068176454939104,19162,3,0
28,rent_social,14,permanent,229,2757,2091,0.4456084104273252,119,8,0
32,owner_with_mortgage,600,permanent,178,277,1745,0.5319129463456502,777,3,0
33,owner_with_mortgage,278,permanent,56,1627,2419,0.4911689772693757,1141,1,0
40,rent_social,49,permanent,2,3538,1565,0.3872329217837069,726,5,0
40,owner_with_mortgage,42,temporary_contract,255,3618,694,0.1445128598970651,2407,3,0
36,rent_private,11,permanent,250,1411,1643,0.2173252778721683,740,28,0
48,living_with_family_other,259,self_employed,17,3096,1751,0.2498509063156031,19269,2,0
42,rent_private,24,self_employed,54,2258,1966,0.2976845229337169,15177,2,0
53,owner_with_mortgage,22,unemployed_other,7,2696,3183,0.1953665339767051,312,45,0
18,rent_social,0,self_employed,230,2600,7461,0.3042751658708068,683,2,0
99,rent_private,13,unemployed_other,17,1781,2168,0.4446345892698696,777,7,0
41,owner_with_mortgage,7,permanent,59,2779,1298,0.0513040496283562,462,4,0
61,owner_with_mortgage,18,permanent,571,1747,1355,0.1359796740159191,1101,1,0
36,rent_private,7,unemployed_other,21,235,3467,0.6282548822553512,1074,7,1
61,rent_private,34,self_employed,49,2369,2070,0.4753936392751868,670,4,0
44,owner_no_mortgage,5,temporary_contract,8,948,1900,0.2310930885515469,227,0,0
47,owner_no_mortgage,10,permanent,350,2440,2201,0.0024617002079022,2920,4,0
30,rent_private,21,temporary_contract,6,19653,2955,0.2971881719830196,386,0,0
27,owner_with_mortgage,40,permanent,563,2208,13267,0.0318237939531318,566,3,0
34,owner_with_mortgage,38,self_employed,11,3646,2340,0.1930814103566417,-2059,6,0
58,owner_with_mortgage,18,permanent,55,1842,2315,0.4143126205138644,623,8,0
110,living_with_family_other,33,permanent,8,1841,1729,0.5762900736994029,1037,39,0
28,rent_social,49,permanent,283,2823,2450,0.2665118200827458,1072,4,0
27,living_with_family_other,11,permanent,215,3425,1583,0.4006904371273505,535,5,0
44,owner_with_mortgage,11,permanent,163,1682,1487,0.2235984437660273,191,3,0
28,owner_with_mortgage,10,permanent,22,3311,1914,0.2266676611386839,947,2,0
54,rent_private,41,permanent,40,1437,1239,0.1958892724733913,286,7,0
27,rent_private,17,permanent,11,2258,1563,0.8813585153147953,435,7,0
25,rent_private,9,permanent,544,1177,1339,0.0562755728610184,499,4,0
64,rent_social,50,self_employed,6,2943,1895,0.0135284648534955,493,5,0
36,owner_no_mortgage,548,permanent,36,2376,308,0.3171979800781832,58,3,0
43,rent_private,342,self_employed,24,3014,1409,0.3995829217869046,1105,6,0
32,rent_private,3,permanent,5,1605,2130,0.3113832999901733,921,2,0
18,owner_no_mortgage,23,permanent,22,4495,1506,0.0593637548848879,625,0,0
27,owner_with_mortgage,49,temporary_contract,297,2107,1686,0.2602368655289645,-1207,8,0
46,rent_private,17,retired,22,6088,85,0.3110572236740015,928,6,0
55,owner_with_mortgage,16,self_employed,58,4789,13922,0.2547942129847069,1050,1,1
44,owner_no_mortgage,13,self_employed,23,4469,1997,0.6277653475214215,560,2,0
32,owner_with_mortgage,20,permanent,47,1758,2149,0.1149432008378305,8173,8,0
31,owner_with_mortgage,9,permanent,98,3757,524,0.5353193470881433,9920,3,0
51,owner_no_mortgage,19,temporary_contract,41,1745,1955,0.096419160898465,99,7,0
40,owner_with_mortgage,26,permanent,488,4045,2424,0.3373083181377151,848,5,0
38,rent_private,4,permanent,17,2739,1791,0.4068895446255343,74,1,0
57,owner_no_mortgage,568,permanent,2,4387,1467,0.4840924177278659,-2012,0,0
44,owner_with_mortgage,8,self_employed,140,13390,2346,0.2146284100140818,538,4,0
32,owner_with_mortgage,14,permanent,9,2163,1425,0.1866323302320053,1042,0,0
116,owner_with_mortgage,7,permanent,156,3323,1754,0.9270626177503964,512,1,0
38,owner_with_mortgage,8,temporary_contract,0,1161,2156,0.2376551106344765,879,8,0
41,owner_with_mortgage,7,self_employed,29,4389,76,0.4114798175207386,521,5,0
91,owner_no_mortgage,1,self_employed,0,2553,2362,0.1048781916282569,1179,5,0
32,owner_with_mortgage,30,permanent,18,1910,1647,0.2059873815799946,534,0,0
28,owner_with_mortgage,42,permanent,15,19756,2499,0.3526854929595807,279,3,0
58,owner_no_mortgage,9,permanent,18,1503,3108,0.1232140479646818,805,5,0
61,owner_with_mortgage,9,permanent,5,1741,2416,0.4126782241738806,352,8,0
61,owner_with_mortgage,15,temporary_contract,8,4334,2201,0.2508181701248542,1085,1,0
43,owner_no_mortgage,27,permanent,35,2335,2643,0.3708962542493665,353,7,0
46,owner_with_mortgage,67,self_employed,501,4000,909,0.0092027313790581,464,0,0
37,owner_with_mortgage,1,permanent,4,2550,1018,0.2050758736002942,1090,6,0
82,living_with_family_other,38,temporary_contract,37,2082,2493,1.050981947874822,773,8,0
42,owner_with_mortgage,311,permanent,23,14277,1898,0.3399114462129663,42,8,0
47,rent_private,185,permanent,10,2100,1583,0.293028180202189,616,7,0
36,living_with_family_other,466,temporary_contract,17,3221,1211,0.2510444489563123,760,4,0
48,owner_no_mortgage,579,permanent,2,13619,921,0.2816250653873837,-2545,4,0
40,rent_private,22,permanent,10,1699,2425,0.0763928369269614,436,1,0
47,rent_private,42,self_employed,16,1970,3,0.2101480111508339,696,3,0
43,owner_no_mortgage,2,retired,516,3171,264,0.3943054786787193,-4247,6,0
99,owner_with_mortgage,34,retired,446,1869,2095,0.1642987487138703,3,1,0
62,rent_private,12,permanent,22,4170,467,0.5570444426842044,11810,2,0
58,rent_private,11,temporary_contract,41,1854,2283,0.0415911164160034,248,3,0
40,owner_with_mortgage,473,permanent,12,8977,2345,0.1586529736676782,650,5,0
30,rent_private,52,temporary_contract,148,1782,1305,0.5055153618309276,1022,4,0
39,rent_private,16,temporary_contract,9,2032,2207,0.6174046691931158,376,3,0
51,rent_private,23,permanent,8,2751,3243,0.5313699204672989,725,4,0
58,rent_private,41,permanent,0,2990,2823,0.1262090273926759,16070,2,0
51,rent_private,50,permanent,424,1711,1294,0.0274101355895848,535,2,0
43,rent_private,10,permanent,72,2912,1757,0.5903850019921122,3411,6,0
41,owner_no_mortgage,58,permanent,42,143,1328,0.5715877765436103,424,2,0
61,living_with_family_other,55,permanent,510,4275,2358,0.2123995532370383,84,4,0
46,owner_with_mortgage,13,temporary_contract,15,3963,1417,0.232425500876212,17020,3,0
40,rent_social,441,permanent,13,1513,1635,0.3703113347039543,622,2,0
53,living_with_family_other,1,permanent,423,1990,1253,0.3345713415371351,732,2,0
18,rent_social,2,permanent,6,3222,1818,0.386050586778931,277,3,0
51,owner_no_mortgage,13,permanent,50,2416,3382,0.4636830781000876,882,4,0
29,rent_private,174,permanent,522,2664,1898,0.5765627507684156,-4815,5,0
33,rent_private,10,permanent,5,4561,1799,0.7970775503950275,979,0,0
36,rent_private,10,permanent,21,1652,1931,0.520716212028438,750,3,0
32,owner_with_mortgage,24,permanent,50,2994,1902,0.2450438406590657,696,2,0
22,rent_private,1,unemployed_other,234,1020,1287,0.6851637184994789,167,2,1
44,rent_private,55,retired,57,2486,1936,0.7136758254805277,877,3,0
59,owner_with_mortgage,31,permanent,0,2196,547,0.6485543360925683,489,3,0
37,living_with_family_other,51,permanent,507,4828,2326,0.3425253773702091,16914,2,0
44,owner_no_mortgage,14,self_employed,3,2503,1625,0.3945895200996703,363,7,1
33,owner_no_mortgage,57,permanent,38,4478,1703,0.415492673994443,27,2,0
43,rent_private,11,permanent,20,3401,51,0.5294000887878766,362,4,0
40,rent_private,1,permanent,318,4945,3147,0.3634778984591928,137,5,0
75,rent_private,13,permanent,7,3264,1465,0.2730297350866174,434,5,0
51,owner_with_mortgage,9,temporary_contract,8,17094,1502,0.247657976084435,915,4,0
36,rent_private,29,self_employed,7,13790,1665,0.8571801572069424,-3804,8,1
35,owner_with_mortgage,17,permanent,43,7338,3183,0.4931979488518479,1121,0,0
30,owner_no_mortgage,22,permanent,8,2142,1770,0.0189154509557786,1139,5,0
37,rent_private,3,permanent,45,3028,2885,1.281095897511424,1045,4,0
61,rent_private,6,self_employed,3,2369,1074,0.2019870450845644,993,5,0
47,rent_private,176,self_employed,75,643,1330,0.5620962837692324,49,2,0
65,owner_with_mortgage,8,permanent,43,2033,1500,0.6010935425007673,723,4,0
42,owner_no_mortgage,12,unemployed_other,38,3479,529,0.0981867672750599,538,4,0
59,owner_no_mortgage,17,unemployed_other,501,3724,2309,1.0806792599054835,329,2,0
104,rent_private,546,permanent,54,2180,1823,0.2376393825792275,19608,3,0
54,rent_private,461,permanent,6,4633,3021,0.6049210012696562,1067,4,0
30,rent_social,11,permanent,11,1842,1393,1.3348142556155815,-4197,5,0
101,owner_no_mortgage,16,self_employed,54,7529,3209,0.7024652444508256,233,6,0
20,owner_with_mortgage,8,permanent,10,3348,2148,0.6135257449250091,1068,3,0
46,rent_private,2,permanent,81,883,2997,0.0712464702448359,564,3,0
64,living_with_family_other,426,permanent,531,2301,1551,0.2131317093637497,271,3,0
63,owner_with_mortgage,28,permanent,544,2484,242,0.3149753632921142,15618,0,0
19,rent_private,307,permanent,9,3498,1937,0.0131616518706264,657,15,0
40,owner_with_mortgage,11,permanent,3,2598,1339,0.3736772810229477,831,4,0
48,owner_no_mortgage,116,permanent,6,7235,1095,0.1152407014986661,-738,5,0
55,rent_private,360,permanent,2,108,1700,0.4475607022168805,16719,3,0
44,owner_with_mortgage,22,temporary_contract,24,11894,2890,0.1489629810891207,11546,7,0
38,owner_with_mortgage,426,retired,39,3012,591,0.2445224103817428,436,4,0
44,owner_with_mortgage,168,retired,4,2302,1612,0.3812343232243195,1199,17,0
23,rent_private,16,permanent,56,2607,1522,0.2821547697965891,950,3,0
37,rent_private,35,permanent,473,14355,1865,0.4968856981520074,240,3,0
52,living_with_family_other,31,temporary_contract,23,1924,2115,0.4988586540199452,933,8,0
34,rent_private,4,permanent,600,1353,1391,0.434866139290952,654,25,0
63,rent_private,4,permanent,26,2596,827,0.3740525630672309,462,1,0
35,owner_no_mortgage,13,retired,129,132,1875,0.1289985742043124,520,3,0
44,living_with_family_other,10,permanent,56,4625,1427,0.2999623989314348,205,2,0
29,rent_social,27,temporary_contract,9,2487,1255,0.2546967259582977,39,8,0
64,owner_with_mortgage,28,permanent,18,3206,2379,0.0942986329135749,116,2,0
40,owner_with_mortgage,5,temporary_contract,22,3859,2058,0.5597973545494612,-4869,5,0
25,owner_with_mortgage,8,temporary_contract,6,18401,1284,0.5339085482850316,34,4,0
39,rent_private,33,permanent,525,916,2146,0.4233770454612548,888,5,0
39,owner_with_mortgage,10,temporary_contract,17,2814,716,0.5588442210990312,562,3,0
40,owner_with_mortgage,21,permanent,26,3470,1414,0.3454101576939269,933,6,0
44,rent_private,5,permanent,49,1367,2408,0.3593420481830603,324,2,0
37,owner_no_mortgage,9,permanent,8,6117,353,0.2715520163156082,414,5,0
27,owner_with_mortgage,9,self_employed,447,8507,1312,0.2340516469806517,376,7,0
43,owner_with_mortgage,16,permanent,581,8899,219,0.5607573217693218,10416,24,0
48,living_with_family_other,182,permanent,54,2501,2530,1.0283064391117382,452,2,0
30,rent_social,109,retired,566,3435,927,0.4153991678779574,15190,4,0
38,rent_social,21,permanent,8,2727,1367,1.4636792272316077,667,9,0
46,rent_private,21,permanent,8,3365,1890,0.6213762617311271,405,3,0
49,owner_no_mortgage,10,temporary_contract,43,1854,1510,0.4803477812261237,2635,4,0
33,rent_social,7,permanent,18,17752,3493,0.3559691548619373,109,3,0
56,rent_private,56,permanent,14,2229,1635,0.4843646561144468,8938,5,0
50,rent_social,33,self_employed,48,3002,3167,0.4393158104532342,726,4,0
41,owner_with_mortgage,197,retired,22,4447,1847,1.1742755540146634,850,3,0
31,owner_no_mortgage,554,permanent,112,1798,2229,0.6326490615499208,1179,1,0
27,rent_private,39,permanent,26,3691,1749,0.3195878359304632,579,4,0
85,rent_social,8,self_employed,225,3088,1589,1.4429116094262708,545,5,0
46,owner_with_mortgage,10,permanent,10,3538,1544,0.3551689141951164,1044,5,1
41,rent_private,15,permanent,16,3059,1378,0.0688111334055205,271,5,0
38,living_with_family_other,9,permanent,3,2092,1755,0.0662633791816382,977,5,0
56,rent_private,22,permanent,64,2512,1653,0.3317267350525732,1039,6,0
56,owner_with_mortgage,42,permanent,81,10751,2103,0.3889847748718366,560,5,0
26,owner_no_mortgage,122,self_employed,350,4765,2990,0.3589829647902754,120,2,0
35,rent_private,7,permanent,10,2953,6629,0.249644487102182,1138,8,0
34,owner_with_mortgage,103,unemployed_other,22,3938,1469,1.2263910233251247,377,2,1
43,owner_with_mortgage,11,self_employed,570,2554,1716,0.2066765051142431,311,5,0
35,rent_social,19,permanent,15,2369,1531,0.4713028522733868,82,2,0
39,rent_private,7,permanent,49,3018,2437,0.2872900656386875,407,4,0
35,owner_with_mortgage,20,permanent,1,545,496,0.0295351379562949,149,0,0
23,living_with_family_other,11,temporary_contract,3,2400,1809,0.283003364720462,1155,2,1
46,rent_private,15,permanent,14,8647,1222,0.5431895184132897,4519,2,0
37,owner_with_mortgage,176,permanent,249,2010,92,0.2980817881742575,90,25,0
48,rent_social,238,temporary_contract,490,2064,1380,0.2968366278209466,478,5,0
23,owner_no_mortgage,406,unemployed_other,23,3384,2485,1.1744216765978046,623,5,0
41,owner_with_mortgage,51,permanent,6,18932,2198,0.4356801028282154,808,4,0
61,rent_social,7,permanent,7,3014,3134,0.3362521759867634,733,7,0
36,rent_private,16,permanent,580,1797,2314,0.3556177397531888,302,5,0
62,owner_with_mortgage,597,permanent,21,356,2164,0.300931118566471,-2985,0,0
40,rent_private,22,permanent,210,13191,1708,0.5846235131306617,18773,2,0
62,owner_with_mortgage,27,permanent,39,3636,1209,0.2091840566223672,542,6,0
36,owner_with_mortgage,49,permanent,275,2898,1552,0.5684672459132911,1292,3,0
53,owner_with_mortgage,376,retired,44,17102,1232,0.4367799248345503,128,0,0
50,rent_private,14,retired,327,3488,1708,0.2853598073599772,844,5,0
28,rent_social,39,temporary_contract,150,3116,2510,0.0114704940804331,501,6,0
53,rent_private,48,self_employed,35,3054,2137,0.2902082744395314,1002,0,0
48,rent_social,2,permanent,229,3686,1825,0.2841793006046721,615,2,0
48,owner_with_mortgage,18,self_employed,7,2429,1880,0.1101622104914536,59,13,0
26,rent_private,6,permanent,88,1840,2348,0.2145923624194293,-4200,7,0
42,living_with_family_other,7,permanent,520,2800,173,0.0606816091335112,274,3,0
41,owner_with_mortgage,44,temporary_contract,22,3685,3021,0.0052761373692428,344,3,0
24,rent_private,35,permanent,45,2528,1862,0.201654681451851,316,6,0
25,owner_with_mortgage,5,permanent,535,232,1669,0.7654804777198785,981,3,0
24,owner_with_mortgage,8,temporary_contract,31,2137,1773,0.2187600956553654,14,3,0
28,owner_no_mortgage,31,retired,58,4429,1526,0.1863071983799225,766,1,0
48,rent_private,539,self_employed,44,3934,2402,0.300739733618692,494,7,0
79,owner_with_mortgage,7,permanent,48,2493,1728,0.3275066411736808,-1856,3,0
58,owner_no_mortgage,26,permanent,465,3901,5329,0.1430476495452335,124,2,0
35,owner_no_mortgage,55,permanent,56,8377,1695,0.4115407733527306,958,2,0
43,owner_no_mortgage,134,permanent,18,2020,2375,0.2928208325045901,987,49,0
21,owner_with_mortgage,11,permanent,220,4095,1577,0.411438479213175,1084,3,0
62,living_with_family_other,28,unemployed_other,7,552,7042,0.2729596671792471,15830,28,0
42,owner_no_mortgage,7,permanent,0,3219,1801,0.3267117381939862,843,5,0
44,rent_private,56,permanent,14,1625,838,1.4917125931243025,412,5,0
50,owner_with_mortgage,7,permanent,11,299,1479,0.2428901070325247,10533,5,0
38,rent_private,0,unemployed_other,259,714,1558,0.3112836117565205,1104,3,0
36,rent_private,266,unemployed_other,20,19922,1943,0.0333851581622331,979,8,0
25,owner_with_mortgage,22,permanent,17,1948,2639,0.5733664160594754,492,8,0
97,living_with_family_other,2,unemployed_other,10,1990,458,0.3463308464060781,772,7,0
