age_years,residential_status,time_at_address_months,employment_status,time_with_employer_months,gross_monthly_income_eur,net_monthly_income_eur,debt_to_income_ratio,disposable_income_eur,num_active_credit_accounts,default
28,living_with_family_other,312,unemployed_other,7,12201,1943,0.9605186748995613,537,1,1
51,rent_private,11,temporary_contract,22,4839,1781,0.45183169226562964,-3783,2,0
46,rent_private,44,permanent,11,3003,3413,0.4998938166435073,18800,2,0
39,living_with_family_other,203,temporary_contract,14,2377,1724,0.5568062399974129,1089,3,0
69,rent_private,3,permanent,54,3454,13574,0.270644736539052,339,6,0
40,owner_with_mortgage,11,permanent,6,3858,1436,0.26624243917132107,-1425,5,0
49,owner_with_mortgage,11,unemployed_other,16,1597,1774,0.06668162361910746,843,2,0
57,owner_with_mortgage,17,unemployed_other,11,2602,501,0.5525807105869819,1087,2,0
27,rent_social,182,temporary_contract,17,4695,557,0.6534333571794786,877,8,0
33,rent_private,57,temporary_contract,10,1820,1298,0.42638522867163586,700,3,0
22,rent_private,17,permanent,0,3850,1682,0.4245471789717671,370,3,0
31,owner_no_mortgage,26,permanent,10,9669,618,0.3610941598205359,320,1,0
48,rent_private,206,temporary_contract,11,1415,836,0.5470468759331762,16,3,0
29,owner_with_mortgage,22,permanent,8,4056,1976,0.46884615252405015,743,1,0
32,owner_with_mortgage,23,permanent,27,1336,1546,0.3523741725598139,289,7,0
25,rent_private,9,permanent,12,2205,1622,0.5691138613544827,9376,5,0
54,owner_no_mortgage,7,permanent,28,3911,1281,0.5591528466870529,682,17,0
60,owner_with_mortgage,13,self_employed,8,3911,1500,0.5456003599739325,1078,3,0
52,rent_private,323,self_employed,8,2755,1683,0.4579221410417884,330,4,0
31,owner_no_mortgage,9,temporary_contract,18,1908,3962,0.9979832992057442,693,3,0
28,rent_social,7,permanent,58,1475,139,0.24608307258061057,277,2,0
111,owner_no_mortgage,34,permanent,30,3021,3359,0.6039354564456443,1023,6,0
48,rent_private,4,permanent,499,2171,1554,0.5810480181142762,968,47,1
47,rent_private,5,permanent,7,9894,1773,0.07639376785874501,845,3,0
28,living_with_family_other,8,temporary_contract,10,3535,921,0.22306836654249135,-3224,0,1
26,owner_no_mortgage,8,permanent,31,14683,1498,0.9118572099971285,175,2,0
112,owner_with_mortgage,33,permanent,23,2401,662,0.8926015113498845,16699,2,0
25,owner_with_mortgage,8,permanent,4,2180,3308,0.37799550976575735,751,7,0
59,owner_with_mortgage,499,permanent,8,2093,1649,0.26791196579745513,497,6,0
31,rent_private,45,self_employed,44,1512,1301,0.32920975597792945,952,2,0
62,owner_with_mortgage,128,permanent,546,3363,13595,0.23684656077576238,1111,3,0
43,owner_with_mortgage,10,retired,14,3268,1493,1.2002090407531827,-386,6,0
115,owner_no_mortgage,4,permanent,0,2947,1750,0.408570079235805,151,5,0
33,rent_private,45,permanent,23,3112,3189,0.44960498276344407,631,7,0
37,owner_with_mortgage,20,retired,10,2453,1504,0.06725403699625922,9351,7,0
55,rent_social,10,self_employed,426,4370,1936,1.147504519023379,-3395,7,0
119,rent_private,20,temporary_contract,6,805,1026,0.45229439483565936,879,5,1
34,rent_social,23,permanent,5,3184,1347,0.421452489251874,492,6,0
21,owner_no_mortgage,57,self_employed,8,85,2290,0.5159964611245472,857,2,0
64,owner_no_mortgage,10,permanent,16,1924,1116,0.2065515266381585,228,8,0
20,owner_with_mortgage,8,permanent,10,3348,2148,0.6135257449250091,1068,3,0
27,rent_social,6,unemployed_other,3,3786,220,0.5638740088300491,962,3,0
42,owner_no_mortgage,11,permanent,3,4908,1582,0.21375604794980743,532,15,0
32,rent_private,0,permanent,16,3104,1179,0.3136823794406641,11908,4,0
26,owner_with_mortgage,370,self_employed,11,2370,250,0.40198419638140714,474,0,0
21,rent_private,281,permanent,11,1948,1452,0.45524420558289685,19070,6,0
62,rent_private,19,unemployed_other,10,3138,2298,0.7106160490300347,3980,3,0
36,owner_no_mortgage,2,unemployed_other,202,1985,1340,1.2852815845807473,922,8,0
22,rent_private,17,temporary_contract,13,4729,2395,0.5640787754973008,550,28,0
40,owner_with_mortgage,116,permanent,45,2475,2274,0.4560299593503945,516,4,0
32,rent_social,20,permanent,0,3623,2687,0.48865942917545835,1028,2,0
35,rent_private,20,permanent,6,969,2119,0.320351213630433,821,2,0
30,owner_with_mortgage,28,permanent,38,3657,2484,0.5188222268375101,566,4,0
44,owner_with_mortgage,50,permanent,546,2802,644,0.4094773867214247,687,5,0
43,rent_private,39,temporary_contract,47,609,2888,0.5045759125352213,1028,4,0
52,owner_with_mortgage,26,self_employed,36,1362,2396,0.265278908991057,43,5,0
33,rent_private,278,unemployed_other,3,4057,330,0.39304386769876976,4617,4,0
51,owner_with_mortgage,562,permanent,48,3094,2784,0.26822055625006425,-3098,4,0
67,living_with_family_other,54,retired,14,2278,1093,0.45955599256463414,769,4,0
50,owner_no_mortgage,7,permanent,227,2177,2051,0.5281857953809337,-4833,4,0
25,owner_no_mortgage,9,permanent,506,4551,2801,0.21739671185601792,438,5,0
18,rent_private,1,permanent,40,232,3282,0.2981545864711045,781,0,1
22,owner_with_mortgage,24,permanent,58,2641,1318,0.45739956875817833,163,43,0
32,rent_social,57,self_employed,18,1632,1310,0.2854122542978033,100,3,0
108,living_with_family_other,149,temporary_contract,108,3106,882,1.4414445521423456,88,35,0
63,owner_with_mortgage,6,unemployed_other,11,2400,3358,0.23717086987591962,626,5,0
29,owner_with_mortgage,17,temporary_contract,18,4401,736,0.34987917264119783,1122,0,0
59,rent_social,1,permanent,9,3767,2140,0.932446207596975,133,1,0
37,rent_private,33,temporary_contract,8,417,2434,0.5595090384999535,-1647,5,1
59,rent_private,1,temporary_contract,390,2911,1277,0.04923813896358646,80,3,0
58,rent_social,30,permanent,1,1928,2247,0.36159759500499356,1679,6,0
30,owner_with_mortgage,8,self_employed,16,3692,1532,0.2764818419036163,-103,0,0
36,owner_no_mortgage,6,permanent,43,4963,0,0.5488033265721546,421,0,0
41,rent_social,11,temporary_contract,31,4603,32,0.49041229450588153,215,0,0
30,rent_social,20,temporary_contract,0,2203,1975,0.4439528057572294,976,3,0
63,owner_no_mortgage,5,permanent,53,4595,2184,1.1748341701427765,216,2,0
80,owner_with_mortgage,138,permanent,21,1951,1490,0.8234865069946853,2172,5,0
45,living_with_family_other,12,unemployed_other,13,4629,2226,0.44988446155538414,581,42,0
44,owner_with_mortgage,35,permanent,5,2234,2496,0.35116247974944265,730,4,0
38,rent_social,8,permanent,2,3236,2309,0.2685707966689479,-399,3,0
55,rent_private,58,self_employed,36,436,2593,0.5490903499184864,362,3,0
19,rent_social,5,temporary_contract,10,4747,2132,0.32687110461166635,82,8,0
32,rent_private,580,temporary_contract,376,300,683,0.35991388445872824,13,6,0
30,rent_private,53,permanent,517,4353,1693,0.3887552329410188,1612,6,0
45,owner_with_mortgage,41,temporary_contract,7,469,579,0.2703743191403362,376,1,0
29,rent_private,23,temporary_contract,6,1632,6441,0.5347629431532901,274,1,1
51,owner_with_mortgage,16,permanent,53,2208,1316,0.5348518616374139,194,1,0
44,living_with_family_other,444,permanent,7,1113,1229,0.4404436079857343,-4778,2,1
23,rent_private,15,permanent,11,2005,1944,0.5189425773473264,15140,2,0
29,rent_social,11,temporary_contract,4,2247,1006,0.6497292585159613,1017,7,0
39,rent_private,36,permanent,16,3646,2281,0.6266422925833767,330,8,0
25,rent_private,8,permanent,468,2433,1730,0.5663325585570351,-2798,0,0
39,rent_private,29,permanent,9,2695,1612,0.41395888040449524,506,2,0
49,owner_no_mortgage,280,permanent,10,3688,1539,0.3890871650173767,448,8,0
32,rent_private,427,self_employed,53,2095,1919,0.5616655699135537,1108,7,0
88,rent_private,390,unemployed_other,7,901,2309,0.2605905153519298,556,4,0
38,owner_with_mortgage,43,permanent,2,340,1367,0.0055047652823150715,308,5,0
53,living_with_family_other,8,unemployed_other,15,1678,1622,0.5118858543007812,89,6,0
45,owner_with_mortgage,507,temporary_contract,17,2501,3309,0.06736537424504886,234,1,0
90,owner_no_mortgage,51,permanent,21,8328,569,0.7562529571806552,892,7,0
37,owner_with_mortgage,1,unemployed_other,47,3913,2176,0.4520762947391323,320,8,0
60,owner_with_mortgage,27,permanent,297,4757,1372,0.6614021656130159,1188,4,0
19,owner_with_mortgage,3,temporary_contract,58,1728,1061,0.3730566568571516,693,1,0
38,rent_private,27,permanent,16,2120,807,0.3556114930281571,252,0,0
120,rent_private,2,unemployed_other,586,2350,1665,0.6232687328243426,224,7,0
36,owner_with_mortgage,8,temporary_contract,30,2130,1375,0.380785257330189,836,5,0
57,rent_social,264,temporary_contract,5,2607,1162,0.4257890646801623,647,1,0
94,rent_social,4,permanent,12,295,2389,0.08468841533273058,31,3,0
18,owner_with_mortgage,10,permanent,11,1285,2258,0.4845275644000552,951,0,0
61,rent_private,14,permanent,39,3239,1548,0.473110925155321,517,5,0
77,rent_social,10,retired,29,350,2273,0.5116910047297044,484,1,0
32,owner_with_mortgage,405,permanent,2,2495,1414,1.2346377438552434,436,6,0
30,owner_with_mortgage,11,self_employed,10,2879,1958,0.10605391484889252,-2259,5,0
32,rent_private,52,permanent,8,927,2459,0.42797773490247953,1064,4,0
46,owner_with_mortgage,6,self_employed,1,2169,267,0.47220081034938494,15269,4,0
27,living_with_family_other,151,permanent,11,2863,2117,0.004606252833770852,735,7,0
38,rent_social,13,self_employed,5,19131,1280,0.41490436755296484,-1392,4,0
37,owner_with_mortgage,15,permanent,171,2478,324,0.5999598349268,37,3,0
27,owner_with_mortgage,9,self_employed,5,1691,2389,0.4983867234714637,-208,6,0
35,rent_private,7,permanent,1,2558,940,0.20049971388843787,1074,5,0
21,rent_social,51,self_employed,548,1977,1708,0.6902761524666148,122,3,0
52,rent_private,266,permanent,17,1578,2634,0.2535967854082722,18584,0,0
34,rent_social,11,permanent,9,2565,1700,0.5118128211032312,17092,3,0
64,rent_private,39,permanent,169,2206,3333,0.4827294239428015,129,3,0
61,rent_social,12,retired,44,2009,1289,0.34796680594203944,227,5,0
38,living_with_family_other,7,self_employed,66,2325,1765,0.2774478432308918,264,13,0
54,rent_private,6,permanent,6,3649,2485,0.30320683095127815,143,3,0
52,rent_social,140,self_employed,13,1728,1498,0.4931222797952002,501,1,0
21,living_with_family_other,49,permanent,4,1796,1327,0.2914281354787827,577,7,0
34,owner_with_mortgage,170,permanent,22,2672,13169,0.6465276974659606,513,4,0
45,rent_private,8,self_employed,4,994,1403,0.3321839695431279,3478,4,0
33,living_with_family_other,42,temporary_contract,0,2633,1393,0.33632052066156715,-4183,8,0
25,owner_with_mortgage,474,permanent,294,2617,1271,0.5412347329995446,625,0,0
30,rent_social,14,permanent,8,16621,2403,0.2981118397562691,1119,3,0
32,living_with_family_other,11,temporary_contract,310,3186,1429,0.5189884316642225,379,2,0
35,owner_with_mortgage,9,self_employed,16,1522,1707,0.45791253666328785,359,6,0
45,rent_social,5,permanent,11,1489,1289,0.5098496502028305,249,48,1
25,owner_with_mortgage,47,unemployed_other,46,2291,2415,0.6216220953812521,450,43,0
21,rent_private,2,permanent,5,3194,875,0.07134329637767864,971,0,0
24,owner_with_mortgage,10,unemployed_other,326,1741,1715,0.4466205397320584,452,3,0
34,rent_social,352,permanent,3,2417,357,0.0045225041886389535,673,2,0
69,rent_private,113,permanent,343,1948,2474,0.2077645048816238,726,3,0
53,rent_private,9,permanent,12,6037,7739,0.17201912032963862,894,34,0
36,rent_private,31,permanent,13,2371,2944,0.3308593044814804,775,3,0
32,owner_with_mortgage,20,retired,12,903,722,0.17302001641368694,392,7,1
97,living_with_family_other,2,unemployed_other,10,1990,458,0.3463308464060781,772,7,0
22,owner_no_mortgage,6,unemployed_other,2,2338,1250,0.4030463947030756,1177,2,0
42,rent_private,2,permanent,544,3423,7403,0.26875253188092585,-574,2,0
55,rent_private,11,permanent,451,2584,2084,0.9177785862622421,-2684,8,0
58,owner_with_mortgage,19,temporary_contract,530,3175,2022,0.22125684544728763,-2115,6,0
20,owner_with_mortgage,6,permanent,40,1364,2901,0.5693024531769876,841,0,0
49,owner_no_mortgage,17,retired,263,1186,2034,0.2692303298442197,998,3,1
55,owner_with_mortgage,7,permanent,0,684,3159,0.01407790803435569,1059,2,0
28,owner_with_mortgage,23,retired,2,2711,1223,0.578360572418687,462,2,0
111,living_with_family_other,54,retired,19,3426,1278,0.28912671347989405,299,0,1
30,living_with_family_other,53,permanent,2,1918,240,0.377929892653942,414,1,0
59,rent_private,78,temporary_contract,315,3600,2219,0.23942149311322866,1001,5,0
104,owner_with_mortgage,583,unemployed_other,7,4931,1815,0.4956819071938886,13539,3,0
23,rent_private,343,permanent,6,11499,1859,0.5357337910713311,867,8,0
34,owner_with_mortgage,21,permanent,3,468,2666,0.5906338683235582,453,4,0
33,owner_with_mortgage,54,permanent,585,3438,2180,0.3719893595149301,9851,0,0
117,owner_with_mortgage,10,permanent,97,4984,321,0.6496271589128579,747,2,0
33,rent_private,13,temporary_contract,0,1010,2219,0.5017121463547349,749,20,1
49,rent_private,30,permanent,5,306,357,0.3740378733153018,772,1,0
21,rent_private,258,permanent,0,2083,2368,0.03824512239744884,1738,4,0
19,rent_social,2,temporary_contract,3,2899,1608,0.31822353922230745,476,3,1
34,owner_no_mortgage,5,temporary_contract,20,1716,1917,0.6080620359158225,163,3,0
54,owner_with_mortgage,18,temporary_contract,18,4765,1378,1.054469232369447,1097,18,0
32,rent_private,40,temporary_contract,527,985,2039,0.05758981517549537,617,2,0
18,owner_no_mortgage,34,retired,9,4301,1762,0.7447454809062284,293,3,0
56,owner_with_mortgage,16,permanent,43,254,3112,0.4868173424940021,-2825,1,0
18,rent_private,43,permanent,10,1557,1318,0.3737943326463215,864,3,0
35,living_with_family_other,154,self_employed,7,521,1412,0.1551950875032816,888,1,0
61,rent_social,39,permanent,5,1469,1539,1.3035245875880894,-2779,2,0
38,rent_private,39,permanent,376,140,2165,0.36530546013328563,678,6,0
41,owner_no_mortgage,17,retired,4,1155,1237,0.22593508398806011,888,6,0
35,owner_with_mortgage,0,self_employed,4,2083,2296,0.6263081921617961,19515,5,1
19,rent_private,0,self_employed,513,4437,1966,1.4833042152927893,131,2,0
34,living_with_family_other,57,permanent,20,2850,1571,0.33600948567412425,-491,3,0
60,owner_no_mortgage,2,self_employed,17,3424,247,0.5376796914771815,833,8,0
42,owner_with_mortgage,15,retired,51,3421,1603,0.43801211749201674,459,7,0
47,rent_private,185,permanent,10,2100,1583,0.293028180202189,616,7,0
34,owner_no_mortgage,2,permanent,413,3136,1393,0.2698144375977122,780,2,0
35,rent_social,23,permanent,1,2725,1774,0.5645824565281194,412,5,0
58,rent_social,13,self_employed,33,1821,1367,1.1980360901497955,1180,3,0
47,living_with_family_other,13,permanent,1,10899,1595,0.6079838239846835,754,3,0
35,rent_private,409,permanent,0,2311,1504,0.20567541488784483,-3568,4,0
36,rent_private,16,permanent,60,1333,396,0.4500249955281588,1025,7,0
43,owner_with_mortgage,2,permanent,7,4254,1439,0.4486306499832131,255,4,0
23,owner_with_mortgage,46,temporary_contract,47,3307,1177,0.5263989479427901,48,8,0
25,rent_private,5,unemployed_other,35,4371,2402,0.3276732638886427,652,1,0
31,rent_private,22,permanent,41,1934,2551,1.024277572525225,263,10,0
28,rent_social,59,temporary_contract,8,2076,1792,0.5612776282688732,552,6,1
29,owner_with_mortgage,103,temporary_contract,10,2358,260,0.29563814278864997,-1453,44,0
35,owner_no_mortgage,3,permanent,15,7458,1373,0.2454521159736603,235,2,0
35,owner_with_mortgage,21,permanent,13,2952,961,0.14956822966171457,-4070,3,0
63,rent_social,43,permanent,18,4012,2443,0.42780441659520463,266,2,0
21,rent_private,11,permanent,4,3295,1735,0.1494379805670357,553,1,0
26,owner_no_mortgage,51,permanent,23,2066,2074,0.37468476309035054,515,0,0
62,owner_no_mortgage,34,permanent,373,3136,1875,0.28528007513547005,1058,0,0
21,owner_with_mortgage,16,permanent,6,2854,1220,0.4066708459479155,1041,2,0
61,living_with_family_other,7,self_employed,410,4586,564,0.4567093818988471,1119,3,0
58,owner_with_mortgage,15,permanent,5,4321,1295,0.30822885271868694,-513,3,0
31,owner_no_mortgage,11,permanent,7,2938,1376,0.3948849412024567,362,7,1
33,rent_private,15,self_employed,15,1969,2658,0.2533414712291615,1183,1,0
57,rent_social,41,permanent,588,3312,1752,0.37293355192748084,31,4,0
60,owner_with_mortgage,1,temporary_contract,220,1141,493,0.00042274092751259923,-1539,3,0
67,owner_no_mortgage,6,retired,11,1511,1021,0.5301396379243002,745,6,0
62,rent_private,39,permanent,536,939,1531,0.5220130066033878,685,4,0
51,rent_private,15,retired,371,2634,1838,0.6344954964487914,4171,7,0
44,living_with_family_other,283,permanent,11,1678,2135,0.5940629505916319,39,2,0
87,rent_private,19,retired,0,3482,1611,0.058121164084274674,464,0,0
41,rent_private,491,unemployed_other,33,3823,2866,0.39666503301276984,-2196,8,0
63,living_with_family_other,9,temporary_contract,570,1265,3188,0.2713849619140367,1,5,0
29,rent_private,7,unemployed_other,3,2361,817,0.5893243934429464,5783,1,1
20,living_with_family_other,1,temporary_contract,11,2513,2688,0.31447990977072987,-539,8,1
31,owner_with_mortgage,470,self_employed,35,619,1337,0.2194233552731437,591,1,0
62,rent_social,23,permanent,7,2723,1833,0.3669941095278611,387,1,0
19,owner_no_mortgage,52,self_employed,5,3014,2345,0.3287902751588636,-1956,8,0
28,rent_private,284,retired,23,2384,3050,0.5678609568697458,10061,7,0
55,owner_with_mortgage,44,unemployed_other,48,2648,2138,0.3882250983737919,726,8,0
32,rent_private,19,temporary_contract,12,327,687,0.23625020786210993,-2346,5,0
54,rent_private,379,unemployed_other,552,2474,2088,0.5866863713438812,148,0,0
64,rent_private,428,permanent,51,2167,1758,0.2598210467064572,486,3,0
23,rent_private,0,unemployed_other,152,2725,1734,0.576768383421939,409,4,0
40,rent_private,11,temporary_contract,10,7154,2884,0.3133964817414173,-2336,6,0
35,owner_no_mortgage,0,permanent,350,3073,191,0.6251090944911785,845,12,0
38,rent_private,35,permanent,0,4816,3371,0.41489066050839535,843,18,0
57,rent_private,19,permanent,2,3449,1447,1.1292303027954624,744,7,0
40,rent_private,53,unemployed_other,27,1669,1481,0.22908930897474805,201,1,0
25,rent_social,16,temporary_contract,158,1515,2963,0.43810858943575764,336,6,0
55,rent_social,53,temporary_contract,413,478,2148,0.2447363276543768,608,8,0
33,rent_private,330,unemployed_other,7,1212,1,0.5638913506907012,-664,3,1
48,rent_social,6,permanent,49,2967,1419,0.2829447791326266,98,8,0
28,owner_no_mortgage,9,unemployed_other,43,1979,2122,0.45634059049633124,681,3,0
46,owner_with_mortgage,1,unemployed_other,43,2720,2800,0.45034903457705383,888,1,0
45,rent_social,7,temporary_contract,15,398,1666,0.31793084921880266,3,5,0
60,owner_with_mortgage,4,unemployed_other,3,2804,2412,0.6346444221515942,12757,5,0
40,owner_with_mortgage,28,self_employed,4,2668,1645,0.2637397480461321,626,41,0
30,rent_private,6,self_employed,494,3184,127,0.36882983057676944,-3072,5,0
99,owner_with_mortgage,38,permanent,23,1223,2381,0.4240506926737241,286,26,0
18,owner_with_mortgage,9,retired,11,2273,1971,0.3308038502184416,205,3,0
59,rent_private,44,temporary_contract,37,1003,1130,0.5696165640085648,562,1,0
40,rent_social,441,permanent,13,1513,1635,0.37031133470395433,622,2,0
36,owner_with_mortgage,5,permanent,101,2646,2938,0.23627688045148182,648,1,0
44,rent_private,4,temporary_contract,3,1340,1770,0.19131730057089666,-4765,2,1
33,owner_with_mortgage,5,self_employed,14,3375,1540,0.0864569043528927,361,0,0
25,rent_social,15,temporary_contract,10,3165,2165,0.39417888936102535,583,2,0
34,rent_private,56,permanent,22,3465,2466,0.3322205499890819,749,0,0
42,living_with_family_other,58,unemployed_other,10,788,2273,0.45992888775443647,909,1,0
31,rent_private,1,self_employed,59,1651,1902,1.1300974598956817,1117,4,0
45,owner_with_mortgage,33,permanent,120,271,151,0.5505967495012112,409,4,0
37,rent_private,39,unemployed_other,19,1533,1388,1.294934040532124,192,1,0
48,owner_with_mortgage,13,permanent,23,2345,2671,0.6769533423698554,459,8,0
56,owner_with_mortgage,29,temporary_contract,14,1997,1314,0.40850493984225517,602,7,0
22,owner_no_mortgage,7,self_employed,46,3861,1923,0.3154214283834899,526,3,0
57,owner_with_mortgage,26,permanent,7,2919,1751,0.23131493714492016,316,5,0
57,rent_private,12,permanent,6,4086,477,0.5879684135955009,676,31,1
44,rent_social,17,retired,2,2483,3396,0.3243754429372425,319,2,0
38,owner_no_mortgage,9,permanent,6,729,2235,0.016144263230642285,506,2,0
34,rent_private,3,permanent,5,1881,1281,0.49939218340370267,430,8,0
24,rent_social,416,self_employed,18,3160,1272,0.48695124240827803,762,2,0
36,owner_no_mortgage,36,self_employed,3,2633,1637,0.07368543576336585,-588,8,0
113,rent_private,4,permanent,48,2364,2445,1.495958128605519,488,1,0
24,owner_with_mortgage,236,permanent,318,15302,2867,0.4000296412630664,-4375,4,0
50,rent_private,7,permanent,25,463,2029,0.19101958425281604,543,1,0
20,rent_private,23,permanent,355,14145,1295,0.5057785197480006,661,0,0
49,rent_private,21,self_employed,12,1430,2286,0.4492499583396953,442,2,0
30,owner_with_mortgage,55,retired,17,2236,2167,0.2045691318875368,1032,1,0
27,rent_private,5,temporary_contract,60,517,2483,0.26273905263912695,615,36,0
43,living_with_family_other,38,permanent,22,2490,1862,0.2805656941944374,483,8,0
82,living_with_family_other,8,retired,5,1843,332,0.16137930475772005,140,1,1
36,rent_social,7,permanent,336,2204,5895,0.30835604087624074,205,3,0
23,living_with_family_other,1,temporary_contract,35,270,2391,0.29085154715252914,905,2,0
35,rent_social,23,self_employed,1,2069,1268,0.40943309554274643,776,3,0
102,rent_private,180,permanent,43,1741,44,0.559335233586893,139,2,0
41,rent_social,15,permanent,6,2383,2441,0.3229855074849134,99,6,0
47,owner_with_mortgage,20,permanent,353,1690,1543,0.23092688920390664,1119,3,0
19,owner_with_mortgage,10,permanent,2,3719,932,1.2578750823127334,791,3,0
51,rent_private,31,permanent,41,1068,1455,1.3374930271132426,362,3,0
30,owner_with_mortgage,201,permanent,158,3327,1634,0.44754136268879763,349,6,0
76,owner_with_mortgage,19,permanent,12,2325,4857,1.0785084631101607,730,4,0
30,living_with_family_other,13,permanent,7,2212,1544,0.2601602786539532,-2077,3,1
53,living_with_family_other,559,retired,7,703,1591,0.5487908623507349,18203,6,0
19,rent_private,121,permanent,458,381,901,0.2590584705793721,72,1,0
34,owner_no_mortgage,11,permanent,10,2570,1229,0.33109441994838573,514,7,0
59,owner_with_mortgage,99,self_employed,44,3027,2415,0.926851837895853,-3926,3,0
20,rent_private,456,unemployed_other,5,3299,422,0.24335885100202886,15628,5,1
30,rent_social,32,permanent,15,1733,1955,0.3749462991232883,1181,2,0
29,owner_with_mortgage,12,permanent,8,1675,1629,1.179792805746607,10834,8,0
26,owner_with_mortgage,6,permanent,3,3269,401,0.35029352120809587,305,0,0
98,rent_private,49,temporary_contract,4,4057,1206,0.5253784218266471,58,5,0
28,rent_private,20,self_employed,9,2019,1284,0.23428574359984133,896,1,0
18,owner_no_mortgage,246,unemployed_other,31,2900,6218,0.9975901263346505,350,4,0
47,owner_with_mortgage,44,unemployed_other,37,1824,1336,0.45168014107802257,1088,3,0
30,rent_social,1,self_employed,4,1523,2200,0.3889514375294781,948,15,0
51,living_with_family_other,492,permanent,35,1914,648,0.3784467504730749,1132,4,0
